n,i,t
Acadia,22001,0
Accomack,51001,1153099
Ada,16001,0
Adair,40001,1762368
Adams,8001,67045740
Addison,50001,17266
Aiken,45003,77389
Aitkin,27001,239081
Alachua,12001,5745
Alamance,37001,96108
Alcorn,28003,654145
Alexander,37003,528182
Allamakee,19005,228794
Allegan,26005,5828348
Allen,39003,19733155
Allendale,45005,99488
Alpena,26007,50904
Amelia,51007,227138
Anderson,48001,2389415
Andrew,29003,1403958
Anoka,27003,395995
Anson,37007,7661
Antelope,31003,2062670
Antrim,26009,43554
Appanoose,19007,228047
Appling,13001,111030
Appomattox,51011,88018
Arapahoe,8005,0
Arenac,26011,458840
Arkansas,5001,0
Armstrong,48011,414056
Aroostook,23003,14941
Ashland,55003,140762
Ashley,5003,152320
Ashtabula,39007,243356
Atascosa,48013,0
Atchison,29005,8211840
Athens,39009,53862
Atkinson,13003,74768
Atlantic,34001,12688
Audrain,29007,503791
Audubon,19009,963816
Auglaize,39011,596897
Augusta,51015,607998
Aurora,46003,916758
Austin,48015,20505
Autauga,1001,67646
Avoyelles,22009,2671
Baca,8009,2886389
Bacon,13005,32280
Bailey,48017,0
Baker,41001,1830717
Baldwin,13009,38164
Ballard,21007,39258
Baltimore,24005,519482
Bamberg,45009,96407
Banner,31007,243333
Barber,20007,0
Barbour,54001,274188
Barnes,38003,1895680
Barnwell,45011,108124
Barren,21009,18469
Barron,55005,4361658
Barry,29009,3170812
Bartholomew,18005,1138672
Barton,29011,6540440
Bastrop,48021,0
Bates,29013,733594
Bath,51017,38956
Bay,26017,8749660
Beadle,46005,4365936
Beaufort,45013,1587690
Beauregard,22011,0
Beaver,49001,14271
Becker,27005,413920
Bedford,51515,3656168
Bee,48025,9231
Bell,48027,803936
Beltrami,27007,22860
Ben Hill,13017,161283
Bennett,46007,238760
Benson,38005,851676
Bent,8011,465328
Benton,53005,76190382
Berkeley,54003,474186
Berks,42011,219275
Berrien,26021,1593056
Bertie,37015,1190434
Bexar,48029,34867
Big Horn,56003,513052
Big Stone,27011,2031970
Billings,38007,4226
Bingham,16011,0
Black Hawk,19013,132203
Blackford,18009,898871
Bladen,37017,1202021
Blaine,40011,18496
Blair,42013,75070
Bleckley,13023,3108
Blue Earth,27013,1838092
Bolivar,28011,181004
Bollinger,29017,10647
Bon Homme,46009,1255283
Bond,17005,1880118
Boone,54005,32695536
Bosque,48035,0
Bottineau,38009,4161
Bourbon,21017,529010
Bowie,48037,210820
Bowman,38011,39809
Box Butte,31013,424515
Box Elder,49003,2853
Boyd,31015,1493900
Boyle,21021,44869
Bracken,21023,33203
Bradford,42015,261516
Branch,26023,2454344
Brantley,13025,33797
Brazoria,48039,27885
Brazos,48041,16530
Breckinridge,21027,41895
Bremer,19017,293830
Briscoe,48045,0
Bristol,51520,0
Brookings,46011,1194944
Brooks,48047,53868
Brown,55009,227993463
Brule,46015,492142
Brunswick,51025,745592
Bryan,40013,181578
Buchanan,51027,3007191
Bucks,42017,51786
Buena Vista,51530,2447904
Buffalo,55011,7368282
Bullitt,21029,599
Bulloch,13031,588268
Bullock,1011,113886
Buncombe,37021,9358
Bureau,17011,57960
Burke,38013,276111
Burleigh,38015,320056
Burleson,48051,5670
Burlington,34005,13540
Burnett,55013,826828
Burt,31021,521042
Butler,42019,24318240
Butte,6007,132567
Cabarrus,37025,107750
Cache,49005,84500
Caddo,40015,60408
Caldwell,48055,4044195
Calhoun,54013,37353514
Callaway,29027,193790
Calloway,21035,2914012
Calumet,55015,792567
Cambria,42021,57293
Camden,37029,0
Cameron,48061,171603
Campbell,56005,4444430
Canadian,40017,0
Candler,13043,186340
Canyon,16027,0
Cape Girardeau,29031,35279
Carbon,56007,317584
Carlisle,21039,34904
Caroline,51033,10046222
Carroll,51035,129877618
Carson,48065,0
Carteret,37031,19236
Carver,27019,1370678
Casey,21045,19079
Cass,48067,132467148
Cassia,16031,30016
Castro,48069,28830
