n,i,t,a
Accomack,51001,880656,0.575
Adair,40001,15632744,0.688
Adams,8001,252035892,0.824
Addison,50001,331265,1.531
Aiken,45003,310589,2.353
Aitkin,27001,350683,2.637
Alachua,12001,6877,0.095
Alamance,37001,76186,0.362
Alcorn,28003,305959,1.027
Alexander,37003,1961812,1.384
Allamakee,19005,3329949,1.087
Allegan,26005,3009036,0.653
Allen,39003,58229790,0.9
Allendale,45005,713885,2.78
Alpena,26007,9935,0.045
Amelia,51007,601670,1.601
Anderson,48001,2346065,0.873
Andrew,29003,2365935,0.718
Anoka,27003,497165,0.85
Anson,37007,272839,1.177
Antelope,31003,5156219,0.513
Antrim,26009,22193,0.775
Appanoose,19007,5009664,2.391
Appling,13001,171963,1.347
Appomattox,51011,91982,1.144
Arapahoe,8005,215523,1.066
Arenac,26011,159443,0.2
Armstrong,48011,615078,0.398
Aroostook,23003,34868,4.665
Ashland,55003,2179496,0.378
Ashley,5003,146478,0.21
Ashtabula,39007,698058,1.027
Atascosa,48013,250061,0.81
Atchison,29005,13275652,0.364
Atkinson,13003,5480,0.299
Atlantic,34001,33845,1.95
Audrain,29007,2915644,0.782
Audubon,19009,1165045,0.082
Auglaize,39011,6100152,1.269
Augusta,51015,1184079,1.341
Aurora,46003,2681139,0.319
Austin,48015,195272,0.95
Autauga,1001,13722,0.674
Avoyelles,22009,100553,1.099
Baca,8009,25473095,2.017
Bacon,13005,34630,0.241
Bailey,48017,235602,0.523
Baker,41001,1898601,1.605
Baldwin,13009,16640,0.387
Ballard,21007,40726,0.037
Baltimore,24005,320779,0.353
Bamberg,45009,455658,1.783
Banner,31007,436639,0.533
Barber,20007,71757,0.228
Barbour,54001,446222,1.702
Barnes,38003,3211255,0.058
Barnwell,45011,387901,2.031
Barren,21009,284647,0.614
Barron,55005,4647305,0.603
Barry,29009,3523400,0.724
Bartholomew,18005,5045287,1.027
Barton,29011,11154612,1.076
Bastrop,48021,57723,0.95
Bates,29013,1575955,0.677
Bath,51017,92600,0.448
Bay,26017,268910,0.047
Beadle,46005,4351917,0.339
Beaufort,45013,14476146,3.354
Beaver,49001,797010,0.701
Becker,27005,1183453,0.623
Bedford,51515,3192704,0.907
Bee,48025,403201,0.459
Bell,48027,6626134,1.265
Beltrami,27007,38979,0.157
Ben Hill,13017,9648,0.109
Bennett,46007,225169,0.643
Benson,38005,4809870,0.582
Bent,8011,1605425,0.714
Benton,53005,76942854,0.354
Berkeley,54003,244878,0.313
Berks,42011,1027755,0.518
Berrien,26021,1531722,0.57
Bertie,37015,632133,0.697
Bexar,48029,625858,1.159
